Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 44
239.43
239.341
239.601
237.852
239.16
239.37
238.152
239.305
239.283
239.122
