Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 78
68.5773
68.4427
68.4423
68.4423
68.5174
68.5091
68.4241
68.3747
68.4459
68.4712
