Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 44
17.9271
17.9122
17.9346
17.922
17.9493
17.951
17.8354
17.9778
17.9677
18.004
