Striped coloring (storing nothing),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 41
1851.31
1852.05
1852.4
1852.11
1852.58
1852.02
1851.98
1852.26
1851.62
1841.8
