Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.320812
5.31517
5.33626
5.3512
5.37523
5.40403
5.38518
5.34547
5.3649
5.38576
5.35178
