Striped coloring (storing nothing),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 152
919.459
918.347
916.402
916.773
917.885
917.794
917.264
918.006
917.477
917.94
