Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 83
670.352
670.586
670.569
670.319
670.073
670.297
670.374
670.326
669.999
670.255
