Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 44
17.8287
17.856
17.816
17.8181
17.8217
17.8292
17.671
17.702
17.8492
17.846
