Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24
7.5065
7.57194
7.54202
7.55373
7.5127
7.51994
7.5263
7.52902
7.53734
7.56618
