Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 177
3940.15
3931.75
3932.11
3934.95
3931.92
3936.02
3934.2
3933.84
3932.54
3934.7
