Striped coloring (pre-computing COR Format),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152
250.211
249.934
250.075
250.402
250.236
250.252
250.522
250.079
250.138
249.975
