Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,SymGS,vanilla_version_normi/norm0: 0.805915
1002.94
1001.66
1001.64
1001.77
1001.42
1001.46
1001.39
1006.44
1001.84
1001.73
