Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,SymGS,vanilla_version_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295
2146.49
2146.74
2146.17
2151.42
2147.78
2150.63
2145.79
2147.03
2146.02
2149.61
