Striped coloring (storing nothing),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 78
7624.6
7621.57
7622.5
7621.6
7616.98
7617.2
7596.07
7621.59
7617.4
7616.81
