Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 91
4.36672
4.31859
4.33043
4.33475
4.34413
4.336
4.34624
4.33674
4.32134
4.3095
