Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 159
5147.79
5145.96
5143.26
5147.2
5136.49
5139.25
5134.97
5138.33
5133.53
5134.38
