Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 159
26.6044
26.5401
26.5505
26.5475
26.5139
26.5455
26.4916
26.5512
26.5231
26.4947
