Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.51174
19.4417
19.3425
19.2815
19.3484
19.4154
19.485
19.3727
19.3985
19.4638
19.4154
