Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 48
83.1477
83.2161
83.1196
82.9855
82.9848
83.0548
83.1305
82.9892
82.98
82.8937
