Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 91
80.7475
80.7983
80.743
80.4654
80.6909
80.5001
80.7574
80.8529
80.802
80.7576
