Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 177
915.846
916.241
915.957
916.299
915.98
916.515
916.592
917.185
916.6
916.224
