Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.14711
2.35699
2.33555
2.36867
2.34304
2.33043
2.32685
2.34637
2.35763
2.34198
2.3345
