Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
7.52989
7.52355
7.51744
7.50669
7.51632
7.49648
7.50861
7.52925
7.54282
7.52435
