Striped coloring (storing nothing),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 41
17.6831
17.819
17.8615
17.8276
17.8195
17.8111
17.7883
17.7733
17.6885
17.773
