Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.469112
23.8298
23.8518
23.7358
23.8439
23.9114
23.7955
23.9553
23.8142
23.8455
23.8675
