Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 332
151.267
151.291
151.267
151.206
151.237
151.31
151.242
151.204
151.195
151.228
