Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 26
35.4365
35.3334
35.4697
35.3514
35.3839
35.3452
35.3081
35.3604
35.2922
35.3468
