Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 315
69687.3
69708.1
69683.7
69712.1
69670.5
69707.3
69674.6
69713
69685.1
69712.5
