Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 78
5381.06
5379.28
5379.35
5380.23
5379.8
5380.43
5380.73
5380.97
5381.16
5381.92
