Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 177
4988.45
4984.84
4981.09
4985.55
4984.31
4981.41
4982.57
4984.09
4981.59
4982.51
