Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 24
4.88624
4.89162
4.87053
4.88605
4.87344
4.85171
4.87805
4.85779
4.85978
4.8823
