Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 177
26.1196
26.0235
26.013
25.979
25.9305
26.0343
25.9899
25.9726
25.9988
25.9805
