Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 83
7.70182
7.69341
7.65802
7.60963
7.68205
7.63882
7.68653
7.63571
7.66294
7.64624
