Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 315
13626.8
13629.7
13627.9
13629.8
13628
13629.6
13628.5
13629.9
13627.8
13630.5
