Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 152
24027.9
24136.5
24154
24056.1
24100.7
24153.3
24162.9
24031.9
24138
24013.9
