Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 44
194.561
194.653
193.332
194.624
193.683
193.583
195.083
194.678
194.72
193.349
