Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 91
3.82422
3.83142
3.83974
3.84166
3.81635
3.81024
3.83232
3.81325
3.80211
3.80694
