Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 152
156.808
156.522
156.469
156.709
156.443
156.513
156.379
156.542
156.395
155.656
