Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 315
13638.6
13645.3
13641.2
13644.4
13640.4
13644.7
13639.5
13644.3
13640.9
13644.8
