Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 24
120.404
120.243
120.268
120.214
120.294
120.097
120.239
120.091
120.142
120.257
