Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 91
382.802
383.014
383.616
384.175
382.729
384.176
383.986
384.323
383.447
382.651
