Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 26
1.22083
1.22112
1.2104
1.22042
1.23514
1.22806
1.21914
1.21642
1.19987
1.20922
