Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 24
3.8049
3.8047
3.82106
3.7736
3.79581
3.77779
3.78675
3.77917
3.76806
3.76464
