Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 295
13616.9
13610.5
13624.1
13612.5
13624.6
13613.4
13625.3
13613.1
13625.9
13614.2
