Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295
918.381
917.173
918.7
916.76
919.558
916.691
917.662
918.853
921.657
918.596
