Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 91
432.754
432.766
432.543
431.331
432.744
432.619
432.631
432.64
432.242
432.789
