Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 332
13638.4
13644.6
13640.7
13645.4
13640.8
13645.5
13641.3
13646.7
13640.4
13646.1
