Striped coloring (storing nothing),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 152
41967.1
42146.1
42161.7
42166.8
42152.8
42032.4
42153.6
42150
42087.6
42055.5
