Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
7.54845
7.54848
7.55843
7.58483
7.55002
7.57498
7.5705
7.57846
7.56467
7.57091
