Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24
16.2941
16.2377
16.2946
16.2925
16.2825
16.3432
16.2468
16.2494
16.2114
16.2535
