Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 41
32.5405
32.2772
32.3679
32.3365
32.2539
32.3444
32.3284
32.3638
32.3838
32.3394
