Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 315
175.832
175.824
175.754
175.722
175.555
175.644
175.664
175.642
175.637
175.637
