Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 26
1.5415
1.53574
1.53923
1.52909
1.53629
1.54026
1.53802
1.51795
1.51824
1.51578
