Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 26
7.57914
7.5575
7.60173
7.55632
7.56077
7.58877
7.61136
7.61053
7.61197
7.56925
