Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 26
43.592
43.5157
43.3789
43.3965
43.3922
43.3955
43.4211
43.3491
43.361
43.4782
