Striped coloring (storing nothing),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 295
1234.78
1233.9
1233.69
1229.18
1227.75
1227.32
1227.54
1227.39
1227.28
1227.28
