Striped coloring (pre-computing COR Format),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152_normi/norm0: 0.58093_CG iterations: 152
921.948
919.819
921.804
919.927
921.881
919.772
922.058
920.727
921.74
920.315
