Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 159
30.2458
30.1677
30.0252
30.0182
29.9713
29.9126
29.9735
29.9263
29.9754
29.9643
