Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 48
17.8371
17.887
17.8706
17.8188
17.711
17.726
17.8361
17.8667
17.9091
17.8639
