Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 48
90.2717
90.0318
90.0206
90.0097
89.9748
90.045
89.8571
89.9114
89.8897
89.5186
