Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 48
1.54931
1.54774
1.54205
1.55552
1.54691
1.54765
1.53802
1.5432
1.53856
1.53238
