Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 332
67669.6
67654.3
67654.2
67655.3
67653.2
67654.6
67651.5
67656.4
67652
67655.6
