Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 26
7.56966
7.55683
7.55971
7.53363
7.54509
7.58797
7.54691
7.55382
7.54285
7.57888
