Striped coloring (storing nothing),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 78
97.386
97.1486
97.2219
97.1651
97.1765
97.1949
97.1645
97.1991
97.2272
97.2286
